-,-,-,-,-,-,11,12,13,-,-,-,-,-,-
-,-,-,-,-,-,10,3-52,14,-,-,-,-,-,-
-,-,-,-,-,-,9,3-53,15,-,-,-,-,-,-
-,-,-,-,-,-,8,3-54,16,-,-,-,-,-,-
-,-,-,-,-,-,7,3-55,17,-,-,-,-,-,-
-,-,-,-,-,-,6,3-56,18,-,-,-,-,-,-
0,1,2,3,4,5,-,-,-,19,20,21,22,23,24
51,1-52,1-53,1-54,1-55,1-56,-,-,-,2-56,2-55,2-54,2-53,2-52,25
50,49,48,47,46,45,-,-,-,31,30,29,28,27,26
-,-,-,-,-,-,44,4-56,32,-,-,-,-,-,-
-,-,-,-,-,-,43,4-55,33,-,-,-,-,-,-
-,-,-,-,-,-,42,4-54,34,-,-,-,-,-,-
-,-,-,-,-,-,41,4-53,35,-,-,-,-,-,-
-,-,-,-,-,-,40,4-52,36,-,-,-,-,-,-
-,-,-,-,-,-,39,38,37,-,-,-,-,-,-
